titulo,autor,idioma_original,pais_autor,ano_premio,tipo_premio,editora_fonte,forma,premio
Is Mother Dead,Vigdis Hjorth,norueguês,Noruega,2023,lista_longa,Verso,romance,International Booker Prize
Tomb of Sand,Geetanjali Shree,hindi,Índia,2022,vencedor,Tilted Axis Press,romance,International Booker Prize
Cursed Bunny,Bora Chung,coreano,Coreia do Sul,2022,finalista,Honford Star,contos,International Booker Prize
A New Name: Septology VI-VII,Jon Fosse,norueguês,Noruega,2022,finalista,Fitzcarraldo Editions,romance,International Booker Prize
Heaven,Mieko Kawakami,japonês,Japão,2022,finalista,Picador,romance,International Booker Prize
Elena Knows,Claudia Piñeiro,espanhol,Argentina,2022,finalista,Charco Press,romance,International Booker Prize
The Books of Jacob,Olga Tokarczuk,polonês,Polônia,2022,finalista,Fitzcarraldo Editions,romance,International Booker Prize
After the Sun,Jonas Eika,dinamarquês,Dinamarca,2022,lista_longa,Lolli Editions,contos,International Booker Prize
Paradais,Fernanda Melchor,espanhol,México,2022,lista_longa,Fitzcarraldo Editions,romance,International Booker Prize
Love in the Big City,Sang Young Park,coreano,Coreia do Sul,2022,lista_longa,Tilted Axis Press,romance,International Booker Prize
"Happy Stories, Mostly",Norman Erikson Pasaribu,indonésio,Indonésia,2022,lista_longa,Tilted Axis Press,contos,International Booker Prize
Phenotypes,Paulo Scott,português,Brasil,2022,lista_longa,And Other Stories,romance,International Booker Prize
At Night All Blood Is Black,David Diop,francês,França/Senegal,2021,vencedor,Pushkin Press,romance,International Booker Prize
The Dangers of Smoking in Bed,Mariana Enríquez,espanhol,Argentina,2021,finalista,Granta Books,contos,International Booker Prize
The Employees,Olga Ravn,dinamarquês,Dinamarca,2021,finalista,Lolli Editions,romance,International Booker Prize
When We Cease to Understand the World,Benjamín Labatut,espanhol,Chile,2021,finalista,Pushkin Press,hibrido,International Booker Prize
In Memory of Memory,Maria Stepanova,russo,Rússia,2021,finalista,Fitzcarraldo Editions,hibrido,International Booker Prize
The Perfect Nine,Ngũgĩ wa Thiong'o,gikuyu,Quênia,2021,lista_longa,Harvill Secker,poesia,International Booker Prize
Minor Detail,Adania Shibli,árabe,Palestina,2021,lista_longa,Fitzcarraldo Editions,romance,International Booker Prize
Summer Brother,Jaap Robben,holandês,Países Baixos,2021,lista_longa,World Editions,romance,International Booker Prize
The Discomfort of Evening,Lucas Rijneveld,holandês,Países Baixos,2020,vencedor,Faber & Faber,romance,International Booker Prize
The Enlightenment of The Greengage Tree,Shokoofeh Azar,persa,Irã,2020,finalista,Europa Editions,romance,International Booker Prize
The Adventures of China Iron,Gabriela Cabezón Cámara,espanhol,Argentina,2020,finalista,Charco Press,romance,International Booker Prize
Hurricane Season,Fernanda Melchor,espanhol,México,2020,finalista,Fitzcarraldo Editions,romance,International Booker Prize
The Memory Police,Yōko Ogawa,japonês,Japão,2020,finalista,Harvill Secker,romance,International Booker Prize
The Eighth Life,Nino Haratischvili,alemão,Geórgia,2020,lista_longa,Scribe UK,romance,International Booker Prize
Little Eyes,Samanta Schweblin,espanhol,Argentina,2020,lista_longa,Oneworld,romance,International Booker Prize
Mac and His Problem,Enrique Vila-Matas,espanhol,Espanha,2020,lista_longa,Harvill Secker,romance,International Booker Prize
Celestial Bodies,Jokha Alharthi,árabe,Omã,2019,vencedor,Sandstone Press,romance,International Booker Prize
The Years,Annie Ernaux,francês,França,2019,finalista,Fitzcarraldo Editions,nao_ficcao_narrativa,International Booker Prize
The Pine Islands,Marion Poschmann,alemão,Alemanha,2019,finalista,Serpent's Tail,romance,International Booker Prize
Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,polonês,Polônia,2019,finalista,Fitzcarraldo Editions,romance,International Booker Prize
The Shape of the Ruins,Juan Gabriel Vásquez,espanhol,Colômbia,2019,finalista,MacLehose Press,romance,International Booker Prize
The Remainder,Alia Trabucco Zerán,espanhol,Chile,2019,finalista,And Other Stories,romance,International Booker Prize
Mouthful of Birds,Samanta Schweblin,espanhol,Argentina,2019,lista_longa,Oneworld,contos,International Booker Prize
At Dusk,Hwang Sok-yong,coreano,Coreia do Sul,2019,lista_longa,Scribe,romance,International Booker Prize
Flights,Olga Tokarczuk,polonês,Polônia,2018,vencedor,Fitzcarraldo Editions,hibrido,International Booker Prize
Vernon Subutex 1,Virginie Despentes,francês,França,2018,finalista,MacLehose Press,romance,International Booker Prize
The White Book,Han Kang,coreano,Coreia do Sul,2018,finalista,Portobello Books,hibrido,International Booker Prize
The World Goes On,László Krasznahorkai,húngaro,Hungria,2018,finalista,Tuskar Rock Press,contos,International Booker Prize
Frankenstein in Baghdad,Ahmed Saadawi,árabe,Iraque,2018,finalista,Oneworld,romance,International Booker Prize
The 7th Function of Language,Laurent Binet,francês,França,2018,lista_longa,Harvill Secker,romance,International Booker Prize
"Go, Went, Gone",Jenny Erpenbeck,alemão,Alemanha,2018,lista_longa,Portobello Books,romance,International Booker Prize
A Horse Walks into a Bar,David Grossman,hebraico,Israel,2017,vencedor,Jonathan Cape,romance,International Booker Prize
Compass,Mathias Énard,francês,França,2017,finalista,Fitzcarraldo Editions,romance,International Booker Prize
The Unseen,Roy Jacobsen,norueguês,Noruega,2017,finalista,MacLehose Press,romance,International Booker Prize
"Mirror, Shoulder, Signal",Dorthe Nors,dinamarquês,Dinamarca,2017,finalista,Graywolf Press,romance,International Booker Prize
Fever Dream,Samanta Schweblin,espanhol,Argentina,2017,finalista,Riverhead Books,romance,International Booker Prize
The Traitor's Niche,Ismail Kadare,albanês,Albânia,2017,lista_longa,Harvill Secker,romance,International Booker Prize
Black Moses,Alain Mabanckou,francês,Congo-Brazzaville,2017,lista_longa,The New Press,romance,International Booker Prize
The Vegetarian,Han Kang,coreano,Coreia do Sul,2016,vencedor,Granta Books,romance,International Booker Prize
A General Theory of Oblivion,José Eduardo Agualusa,português,Angola,2016,finalista,Harvill Secker,romance,International Booker Prize
The Story of the Lost Child,Elena Ferrante,italiano,Itália,2016,finalista,Europa Editions,romance,International Booker Prize
A Whole Life,Robert Seethaler,alemão,Áustria,2016,finalista,Picador,novela,International Booker Prize
Man Tiger,Eka Kurniawan,indonésio,Indonésia,2016,lista_longa,Verso,romance,International Booker Prize
Tram 83,Fiston Mwanza Mujila,francês,Rep. Dem. do Congo,2016,lista_longa,Deep Vellum Publishing,romance,International Booker Prize
A Cup of Rage,Raduan Nassar,português,Brasil,2016,lista_longa,New Directions Publishing,novela,International Booker Prize
Ladivine,Marie NDiaye,francês,França,2016,lista_longa,MacLehose Press,romance,International Booker Prize
Torto Arado,Itamar Vieira Junior,português,Brasil,2020,vencedor,Todavia,romance,Jabuti - Romance Literário
Marrom e Amarelo,Paulo Scott,português,Brasil,2020,finalista,Alfaguara,romance,Jabuti - Romance Literário
A Palavra que Resta,Stênio Gardel,português,Brasil,2021,vencedor,Companhia das Letras,romance,Jabuti - Romance Literário
O Som do Rugido da Onça,Micheliny Verunschk,português,Brasil,2021,finalista,Companhia das Letras,romance,Jabuti - Romance Literário
Água Viva,Clarice Lispector,português,Brasil,1973,classico,Rocco,romance,Jabuti - Romance Literário
A Hora da Estrela,Clarice Lispector,português,Brasil,1977,classico,Rocco,romance,Jabuti - Romance Literário
Grande Sertão: Veredas,Guimarães Rosa,português,Brasil,1956,classico,Nova Fronteira,romance,Jabuti - Romance Literário
Vidas Secas,Graciliano Ramos,português,Brasil,1938,classico,Record,romance,Jabuti - Romance Literário
Quarto de Despejo,Carolina Maria de Jesus,português,Brasil,1960,classico,Ática,nao_ficcao_narrativa,Jabuti - Romance Literário
Becos da Memória,Conceição Evaristo,português,Brasil,2006,classico,Companhia das Letras,romance,Jabuti - Romance Literário
Um Defeito de Cor,Ana Maria Gonçalves,português,Brasil,2006,classico,Record,romance,Jabuti - Romance Literário
K. Relato de uma Busca,Bernardo Kucinski,português,Brasil,2011,classico,Cosac Naify,nao_ficcao_narrativa,Jabuti - Romance Literário
