titulo,autor,sinopse,confianca
Kairos,Jenny Erpenbeck,"Um affair intenso e desigual entre uma jovem e um escritor mais velho e casado se desenrola em Berlim Oriental nos anos que antecedem a queda do Muro, funcionando como alegoria para a desilusão com o colapso da Alemanha Oriental.",alta
Not a River,Selva Almada,"Três homens argentinos voltam a um rio para pescar, revivendo a memória de um amigo morto anos antes num acidente no mesmo lugar, numa narrativa tensa sobre masculinidade, violência e luto no interior da Argentina.",alta
The Details,Ia Genberg,"Durante uma febre, a narradora relembra quatro pessoas importantes de sua vida passada, tecendo um retrato fragmentado de amizade, desejo e memória ao longo de décadas.",alta
Mater 2-10,Hwang Sok-yong,"Saga familiar coreana que atravessa gerações de trabalhadores ferroviários, da era colonial japonesa até o presente, entrelaçando história do trabalho, divisão da Coreia e luta de classes.",media
Crooked Plow,Itamar Vieira Junior,"Duas irmãs numa comunidade rural afrodescendente na Bahia têm suas vidas marcadas para sempre quando uma delas encontra uma faca antiga escondida sob a cama da avó e perde a fala no acidente, no que se desdobra numa saga sobre luta pela terra, religiosidade de matriz africana e violência estrutural no campo.",alta
What I'd Rather Not Think About,Jente Posthuma,"Uma mulher processa o suicídio do irmão gêmeo alternando lembranças do passado que compartilharam com o presente marcado pela ausência, numa narrativa fragmentada sobre luto e a relação intensa entre irmãos gêmeos.",alta
Simpatía,Rodrigo Blanco Calderón,"Na Caracas de emigração em massa, um homem herda uma casa cheia de cães abandonados por famílias que fugiram do país, e a trama se transforma numa sátira sobre a Venezuela chavista e seus exilados.",media
White Nights,Urszula Honek,"Coletânea de contos ambientados numa vila rural polonesa, entrelaçando histórias de várias mulheres marcadas por morte, isolamento e segredos de família ao longo de gerações.",media
A Dictator Calls,Ismail Kadare,"Parte de um telefonema real entre Stálin e o poeta Boris Pasternak sobre o destino de outro escritor preso, e reconstrói o episódio sob dezenas de versões possíveis, refletindo sobre poder, medo e cumplicidade artística sob ditaduras.",media
The Silver Bone,Andrey Kurkov,"Romance policial ambientado em Kiev em 1919, durante a guerra de independência ucraniana, seguindo um jovem investigador tentando resolver um crime em meio ao caos político e à violência da época.",media
Lost on Me,Veronica Raimo,"Autoficção cômica sobre a formação de uma jovem numa família romana disfuncional e superprotetora, narrando com ironia os pequenos traumas e absurdos da vida doméstica italiana.",media
The House on Via Gemito,Domenico Starnone,"Um filho reconstrói, décadas depois, o retrato do próprio pai — um pintor talentoso, violento e frustrado — numa Nápoles do pós-guerra, questionando os mitos familiares sobre arte, masculinidade e fracasso.",media
Undiscovered,Gabriela Wiener,"Uma escritora peruana investiga a herança de seu tataravô, um explorador colonial francês que colecionava artefatos indígenas, entrelaçando essa história com sua própria vida de relação poliamorosa e questões de identidade racial e mestiçagem.",media
Time Shelter,Georgi Gospodinov,"Uma clínica que recria fielmente décadas do passado ajuda pacientes com Alzheimer a reencontrar a memória, mas a ideia se espalha e nações inteiras passam a votar para 'retornar' a períodos históricos anteriores, numa fábula sobre nostalgia e populismo.",alta
Boulder,Eva Baltasar,"Uma cozinheira de navio apelidada de Boulder segue a namorada para a Islândia, mas vê sua liberdade e identidade ameaçadas quando a parceira decide ter um filho, gerando tensão entre desejo, maternidade e autonomia.",alta
Standing Heavy,GauZ',"Sátira sobre imigrantes marfinenses que trabalham como seguranças em lojas de luxo parisienses, observando de perto o consumismo e o racismo da sociedade francesa que os emprega mas não os inclui.",media
Still Born,Guadalupe Nettel,Duas amigas mexicanas encaram escolhas opostas sobre maternidade — uma que decide não ter filhos e outra cujo bebê nasce com uma grave condição — questionando as expectativas sociais impostas às mulheres sobre ser mãe.,alta
The Gospel According to the New World,Maryse Condé,"Um bebê abandonado em Guadalupe cresce cercado por rumores de que seria filho de Deus, numa fábula que questiona religião, raça e as heranças coloniais do Caribe.",media
Whale,Cheon Myeong-kwan,"Saga multigeracional e absurdista sobre uma mulher coreana obcecada por baleias, cuja vida e a de sua filha se entrelaçam com empreendimentos grandiosos e fracassados numa pequena cidade da Coreia rural.",media
Ninth Building,Zou Jingzhi,"Memórias fragmentadas da infância do autor durante a Revolução Cultural chinesa, incluindo o período em que foi enviado ao campo como jovem, retratando o cotidiano sob o regime maoísta com distanciamento poético.",media
Pyre,Perumal Murugan,"Um jovem casal indiano de castas diferentes se casa em segredo e volta à vila natal do marido, onde passa a sofrer perseguição crescente da comunidade por causa da diferença de casta, numa tensão que se intensifica até um desfecho violento.",alta
While We Were Dreaming,Clemens Meyer,"Acompanha um grupo de jovens em Leipzig no caos que se seguiu à queda do Muro de Berlim, entre pequenos crimes, amizade e a busca por um lugar no mundo numa Alemanha Oriental em colapso.",media
Jimi Hendrix Live In Lviv,Andrey Kurkov,"Narrativa satírica e surreal ucraniana que mistura elementos absurdos e políticos numa trama de tom fabular, no estilo característico do autor de misturar humor negro com a realidade pós-soviética.",baixa
Is Mother Dead,Vigdis Hjorth,"Uma pintora norueguesa tenta obsessivamente reatar contato com a mãe da qual está afastada há anos, numa investigação implacável sobre memória familiar, arte e as versões conflitantes que cada um guarda do passado.",media
Tomb of Sand,Geetanjali Shree,"Uma mulher indiana de oitenta anos cai em profunda depressão após a morte do marido, mas se reergue e decide visitar o Paquistão, revisitando o trauma pessoal da Partição da Índia numa narrativa lúdica e não-linear.",alta
Cursed Bunny,Bora Chung,"Coletânea de contos de horror e fantasia coreanos que usam corpos monstruosos e situações bizarras para criticar o capitalismo, o patriarcado e a violência cotidiana.",alta
A New Name: Septology VI-VII,Jon Fosse,"Parte final da saga Septologia, acompanha um pintor norueguês idoso refletindo sobre fé, arte, vício e um duplo de si mesmo que levou uma vida diferente, escrito num fluxo contínuo sem pontos finais.",alta
Heaven,Mieko Kawakami,"Dois adolescentes japoneses vítimas de bullying constante na escola — um deles por causa de um estrabismo — desenvolvem uma amizade de apoio mútuo enquanto refletem sobre crueldade, sofrimento e o sentido de resistir a ele.",alta
Elena Knows,Claudia Piñeiro,"Uma mulher argentina com Parkinson avançado atravessa Buenos Aires para investigar a morte da própria filha, que a polícia classificou como suicídio mas que ela se recusa a aceitar, confrontando os próprios limites físicos pelo caminho.",alta
The Books of Jacob,Olga Tokarczuk,"Épico histórico que reconstrói a vida de Jacob Frank, líder messiânico judeu do século XVIII que reuniu milhares de seguidores pela Europa Central, numa narrativa vasta sobre fé, heresia e identidade.",alta
After the Sun,Jonas Eika,Coletânea de contos dinamarqueses que seguem personagens à deriva nos circuitos do capitalismo global — de um garoto envolvido em turismo sexual em Cancún a operadores do mercado financeiro — numa prosa onírica e desestabilizadora.,media
Paradais,Fernanda Melchor,"Dois adolescentes mexicanos, um jardineiro pobre e o neto de uma família rica, alimentam fantasias obsessivas sobre uma vizinha casada, numa espiral que os arrasta para dentro da violência do crime organizado local.",alta
Love in the Big City,Sang Young Park,"Em quatro histórias interligadas, acompanha a vida amorosa e as amizades de um jovem gay em Seul, passando por relacionamentos, a amizade com uma colega de quarto caótica e o enfrentamento de um diagnóstico de HIV.",alta
"Happy Stories, Mostly",Norman Erikson Pasaribu,"Coletânea de contos indonésios que mistura ficção especulativa com histórias de personagens queer enfrentando rejeição familiar e religiosa, questionando o que conta como final feliz.",media
Phenotypes,Paulo Scott,"Dois irmãos brasileiros de ascendência negra, mas com tons de pele diferentes, seguem caminhos opostos diante do racismo estrutural — um deles passa por branco na sociedade, o outro não — numa reflexão sobre raça, passing e desigualdade no Brasil contemporâneo.",alta
At Night All Blood Is Black,David Diop,"Um soldado senegalês lutando pela França nas trincheiras da Primeira Guerra Mundial mergulha na loucura e na violência ritualizada após a morte brutal do amigo de infância ao seu lado, numa narrativa visceral sobre trauma colonial e guerra.",alta
The Dangers of Smoking in Bed,Mariana Enríquez,"Coletânea de contos de horror argentinos ambientados em bairros urbanos decadentes, misturando lendas urbanas, fantasmas e crítica social numa atmosfera de terror cotidiano.",alta
The Employees,Olga Ravn,"Em formato de depoimentos e relatórios, tripulantes humanos e humanoides de uma nave espacial descrevem sua relação com objetos misteriosos trazidos a bordo, numa reflexão sobre trabalho, alienação e o que define a humanidade.",alta
When We Cease to Understand the World,Benjamín Labatut,"Mistura ficção e não-ficção para contar episódios da vida de cientistas reais como Heisenberg e Schwarzschild, mostrando como grandes descobertas científicas beiraram a loucura e trouxeram consequências sombrias para o mundo.",alta
In Memory of Memory,Maria Stepanova,"Ensaio-memória híbrido em que a autora russa investiga a história de sua própria família ao longo do século XX soviético, questionando a própria natureza da memória, dos arquivos e do luto.",media
The Perfect Nine,Ngũgĩ wa Thiong'o,"Poema épico que reconta o mito de origem do povo Gĩkũyũ do Quênia, seguindo dez filhas fundadoras e a jornada de pretendentes que enfrentam provas para conquistá-las.",media
Minor Detail,Adania Shibli,"Dividido em duas partes, narra primeiro o assassinato de uma jovem beduína por soldados israelenses em 1949, e depois uma mulher palestina contemporânea que se obceca em investigar esse mesmo crime décadas depois.",alta
Summer Brother,Jaap Robben,"Um adolescente holandês é deixado sozinho para cuidar do irmão mais novo com deficiência grave num trailer, enquanto o pai desaparece atrás de dinheiro fácil, numa história dura sobre abandono e responsabilidade precoce.",media
The Discomfort of Evening,Lucas Rijneveld,"Numa família de fazendeiros holandeses ultrarreligiosa, uma menina desenvolve rituais e obsessões cada vez mais perturbadoras para lidar com a morte do irmão mais velho, numa narrativa crua sobre luto infantil e repressão.",alta
The Enlightenment of The Greengage Tree,Shokoofeh Azar,"Narrado pelo fantasma de uma menina morta, acompanha uma família iraniana fugindo da perseguição após a Revolução Islâmica, misturando realismo mágico e mitologia persa para retratar exílio e resistência.",alta
The Adventures of China Iron,Gabriela Cabezón Cámara,"Reconto feminista e queer do clássico épico gauchesco argentino Martín Fierro, contado pela perspectiva da esposa abandonada do protagonista, que cruza as pampas descobrindo desejo e liberdade ao lado de uma companheira escocesa.",alta
Hurricane Season,Fernanda Melchor,"O assassinato de uma mulher conhecida como 'a Bruxa' num vilarejo mexicano é revisitado por múltiplas vozes da comunidade, revelando camadas de pobreza, machismo e violência que levaram ao crime.",alta
The Memory Police,Yōko Ogawa,"Numa ilha onde objetos e conceitos vão sistematicamente desaparecendo da memória coletiva por ordem da Polícia da Memória, uma escritora esconde seu editor, um dos poucos que ainda conseguem lembrar do que foi apagado.",alta
The Eighth Life,Nino Haratischvili,"Saga familiar georgiana que atravessa um século de história soviética, ligada por uma receita secreta de chocolate transmitida entre gerações de uma mesma família marcada por amor, poder e tragédia.",media
Little Eyes,Samanta Schweblin,"Ao redor do mundo, pessoas compram ou operam 'kentukis', pequenos bichinhos-robô que permitem que um estranho veja através dos olhos do brinquedo e acompanhe a vida íntima de outra pessoa, numa reflexão coral sobre vigilância, solidão e conexão na era digital.",alta
Mac and His Problem,Enrique Vila-Matas,"Um espanhol aposentado começa secretamente a escrever um diário e se obceca com um vizinho escritor consagrado, entrando numa espiral metaficcional sobre reescrita, plágio e o próprio ofício de narrar.",media
Celestial Bodies,Jokha Alharthi,"Acompanha três irmãs de uma família omani e seus casamentos ao longo de gerações, refletindo as transformações de Omã entre tradição e modernidade e os ecos ainda presentes da escravidão no país.",alta
The Years,Annie Ernaux,"Memória coletiva e pessoal da França do pós-guerra ao início dos anos 2000, escrita na terceira pessoa e na primeira do plural em vez da primeira do singular, entrelaçando lembranças íntimas às transformações sociais, políticas e tecnológicas do país.",alta
The Pine Islands,Marion Poschmann,"Um alemão foge para o Japão após sonhar que a esposa o trai, e ao conhecer um jovem estudante suicida decide levá-lo numa viagem pelas ilhas de pinheiros seguindo os passos do poeta Bashô, meditando sobre beleza, vida e morte.",media
Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,"Uma mulher idosa excêntrica, astróloga e defensora dos direitos animais, investiga as mortes misteriosas de caçadores locais numa vila polonesa isolada, misturando mistério policial com crítica ecológica.",alta
The Shape of the Ruins,Juan Gabriel Vásquez,"Um escritor colombiano se envolve na obsessão de um homem por teorias conspiratórias sobre dois assassinatos políticos históricos da Colômbia, entrelaçando ficção, história real e reflexão sobre violência política no país.",media
The Remainder,Alia Trabucco Zerán,"Filhos de ex-militantes da resistência à ditadura de Pinochet embarcam numa road trip insólita carregando um caixão, confrontando o peso do legado político e pessoal deixado pela geração dos pais.",media
Mouthful of Birds,Samanta Schweblin,"Coletânea de contos argentinos que exploram o estranhamento e o horror cotidiano por meio de situações surreais e perturbadoras envolvendo corpo, família e desejo.",alta
At Dusk,Hwang Sok-yong,"Um arquiteto coreano de sucesso, vindo de origem pobre, relembra sua trajetória de vida em paralelo à história de uma jovem dramaturga, refletindo sobre desenvolvimento urbano, desigualdade e as escolhas que moldam uma geração.",media
Flights,Olga Tokarczuk,"Romance fragmentado que mistura ensaios, contos e reflexões sobre viagem, movimento e anatomia do corpo humano, incluindo histórias históricas sobre preservação de cadáveres, unido por uma meditação sobre o que significa estar em trânsito.",alta
Vernon Subutex 1,Virginie Despentes,"Um ex-dono de loja de discos parisiense perde a casa e passa a viver nas ruas, e o romance acompanha um panorama de personagens ligados a ele ao longo dos anos, retratando as fraturas da sociedade francesa contemporânea.",alta
The White Book,Han Kang,"Meditação fragmentada em torno da cor branca, inspirada na irmã mais velha da autora, que morreu ainda bebê antes de seu nascimento, entrelaçando luto, memória e objetos brancos como símbolos de pureza e perda.",alta
The World Goes On,László Krasznahorkai,"Coletânea de contos filosóficos e de tom quase apocalíptico, com narradores em busca de sentido e transcendência em meio a paisagens de decadência e deslocamento.",media
Frankenstein in Baghdad,Ahmed Saadawi,"Um catador de sucata em Bagdá costura partes de corpos de vítimas de atentados para criar um cadáver completo digno de um enterro decente, mas a criatura ganha vida e passa a se vingar dos responsáveis pelas mortes, numa sátira sobre a violência da guerra no Iraque.",alta
The 7th Function of Language,Laurent Binet,"Comédia policial que reimagina a morte do teórico Roland Barthes como um assassinato ligado a um documento secreto sobre uma 'sétima função' da linguagem, envolvendo intelectuais reais como Foucault e Derrida numa trama de conspiração acadêmica.",alta
"Go, Went, Gone",Jenny Erpenbeck,"Um professor aposentado de clássicas em Berlim passa a conviver com um grupo de refugiados africanos acampados na praça central, confrontando a burocracia europeia e o próprio preconceito enquanto humaniza a crise migratória.",alta
A Horse Walks into a Bar,David Grossman,"Durante um show de stand-up numa pequena cidade israelense, um comediante começa a desmontar sua própria rotina de piadas até revelar, ao vivo, uma confissão dolorosa e íntima de sua vida pessoal.",alta
Compass,Mathias Énard,"Um musicólogo francês insone passa uma noite inteira relembrando sua fascinação de longa data pelo Oriente Médio e seu amor por uma pesquisadora, numa longa meditação sobre orientalismo, cultura e desejo.",media
The Unseen,Roy Jacobsen,"Uma família vive isolada numa pequena ilha norueguesa, sustentando-se de pesca e agricultura de subsistência, e o romance acompanha o amadurecimento da filha Ingrid diante da dureza e beleza dessa vida remota.",media
"Mirror, Shoulder, Signal",Dorthe Nors,"Uma tradutora dinamarquesa de meia-idade decide finalmente aprender a dirigir, e as aulas se tornam metáfora para retomar o controle da própria vida, numa comédia agridoce sobre solidão e recomeço.",media
Fever Dream,Samanta Schweblin,"Uma mulher agonizando num hospital rural argentino conversa com um garoto vizinho sobre a 'distância de segurança' que devemos manter das pessoas que amamos, revelando aos poucos um horror ligado à contaminação por agrotóxicos.",alta
The Traitor's Niche,Ismail Kadare,"No Império Otomano, um funcionário é encarregado de manter em exibição pública a cabeça decepada de líderes rebeldes, com foco na cabeça do governador albanês rebelde Ali Pasha, numa meditação sobre poder, memória e submissão ao império.",media
Black Moses,Alain Mabanckou,"Um garoto órfão cresce num orfanato no Congo e depois se envolve com uma gangue de moradores de rua na cidade de Pointe-Noire, numa narrativa picaresca e satírica sobre sobrevivência e identidade.",alta
The Vegetarian,Han Kang,"Após um sonho perturbador, uma mulher coreana decide parar de comer carne, decisão que sua família reage com crescente violência e incompreensão, enquanto ela mergulha numa espiral de autodestruição e no desejo obsessivo de se tornar uma planta.",alta
A General Theory of Oblivion,José Eduardo Agualusa,"Uma mulher angolana se tranca dentro do próprio apartamento por trinta anos durante a guerra civil, e a história da Luanda lá fora é reconstruída através dos fragmentos que ela escreve e do que consegue observar da janela.",alta
The Story of the Lost Child,Elena Ferrante,"Volume final da Tetralogia Napolitana, acompanha Elena e Lila já adultas e depois idosas, encerrando décadas de amizade complexa entre as duas com uma tragédia envolvendo o desaparecimento de uma criança.",alta
A Whole Life,Robert Seethaler,"Novela contemplativa sobre Andreas Egger, um homem simples que vive quase toda a vida nas montanhas austríacas, atravessando em silêncio as grandes transformações e tragédias do século XX europeu.",alta
Man Tiger,Eka Kurniawan,"Numa vila indonésia, um jovem carrega dentro de si o espírito de uma tigresa branca herdado da avó, o que culmina num assassinato chocante, misturando mito, crítica social e violência doméstica.",media
Tram 83,Fiston Mwanza Mujila,"Num país fictício da África Central em pleno boom de mineração ilegal, um escritor retorna à cidade natal e passa a frequentar a caótica boate Tram 83, retrato vertiginoso da exploração e do caos pós-colonial em prosa quase musical.",media
A Cup of Rage,Raduan Nassar,"Novela curta e intensa, escrita quase sem parágrafos, que narra uma noite e manhã seguinte de uma briga entre um casal, expondo as camadas de poder, desejo e violência escondidas sob a relação.",alta
Ladivine,Marie NDiaye,"Uma mulher francesa esconde da própria família, por décadas, a existência da mãe (que trabalha como faxineira), perpetuando um ciclo de vergonha e segredo que se repete na geração seguinte, com toques sutis de estranhamento fantástico.",media
Torto Arado,Itamar Vieira Junior,"Duas irmãs numa comunidade rural afrodescendente na Bahia têm suas vidas marcadas para sempre quando uma delas encontra uma faca antiga escondida sob a cama da avó e perde a fala no acidente, no que se desdobra numa saga sobre luta pela terra, religiosidade de matriz africana e violência estrutural no campo.",alta
Marrom e Amarelo,Paulo Scott,"Dois irmãos brasileiros de ascendência negra, mas com tons de pele diferentes, seguem caminhos opostos diante do racismo estrutural — um deles passa por branco na sociedade, o outro não — numa reflexão sobre raça, passing e desigualdade no Brasil contemporâneo.",alta
A Palavra que Resta,Stênio Gardel,"Um homem gay idoso, analfabeto, do sertão nordestino, guarda havia décadas uma carta nunca aberta do grande amor de sua juventude, e decide finalmente aprender a ler para poder conhecer seu conteúdo, revisitando uma vida marcada pela vergonha e pelo silêncio imposto.",alta
O Som do Rugido da Onça,Micheliny Verunschk,"Baseado em fatos históricos, narra o destino de crianças indígenas brasileiras levadas à força para a Europa no século XIX por uma expedição naturalista, entrelaçando violência colonial, memória indígena e a voz apagada dessas crianças.",media
Água Viva,Clarice Lispector,"Narrativa sem enredo tradicional, em fluxo de consciência, na qual uma pintora reflete sobre a instantaneidade da existência, a arte, o tempo presente e a linguagem, num texto quase poético e filosófico.",alta
A Hora da Estrela,Clarice Lispector,"Um narrador escritor conta a história de Macabéa, uma jovem nordestina pobre, ingênua e datilógrafa em meio à indiferença do Rio de Janeiro, questionando ao longo do livro sua própria autoridade e responsabilidade como narrador.",alta
Grande Sertão: Veredas,Guimarães Rosa,"O ex-jagunço Riobaldo narra sua vida de violência e travessias pelo sertão mineiro, seu amor secreto por Diadorim (que se revela mulher) e um suposto pacto com o diabo, numa reflexão profunda sobre o bem, o mal e a existência.",alta
Vidas Secas,Graciliano Ramos,"Uma família de retirantes — Fabiano, a mulher, dois filhos e a cachorra Baleia — enfrenta a seca do sertão nordestino, numa narrativa seca e contida que retrata a miséria, a opressão e a luta silenciosa pela sobrevivência.",alta
Quarto de Despejo,Carolina Maria de Jesus,"Diário real de uma mulher negra catadora de papel moradora de uma favela paulistana nos anos 1950-60, registrando com crueza a fome, a pobreza extrema e a luta diária por sobrevivência.",alta
Becos da Memória,Conceição Evaristo,"Retrato coletivo e ficcionalizado de uma comunidade de favela às vésperas de ser demolida pela prefeitura, contado a partir da memória de infância da autora, dando voz sobretudo às mulheres negras daquele espaço.",alta
Um Defeito de Cor,Ana Maria Gonçalves,"Épico histórico narrado por Kehinde, mulher africana escravizada e trazida ao Brasil, que reconstrói sua trajetória de vida entre a Bahia e o atual Benin ao longo de décadas, do cativeiro à conquista da própria liberdade.",alta
K. Relato de uma Busca,Bernardo Kucinski,"Inspirado em fatos reais da própria família do autor, acompanha um pai que busca desesperadamente descobrir o que aconteceu com a filha desaparecida durante a ditadura militar brasileira, misturando memória, ficção e denúncia política.",alta
